Artists,Album,Genre,Lyrics,Mood,MoodValue
Gob,Face the Ashes,Rock,"I've erased while, I've got world sale And I walk away it, better done secret I never mouthed words away, I cause concern Die crossfire runaway none exists Someone killing Turn away, lay His limb red, I clear Settle wave I'm way Dreaming red, memories worst I feel abrasive worn tired, think I could win Take place I adore seal I'm one I swear I'm not, matter I felt Die crossfire runaway, face ash Someone killing",Sad,0
Lionel Richie,Tonight Will Be Alright,R&B,"Little darling Where long I've thinking ya And feeling's real strong Well time come celebrate You girl sounds great Cause tonight right Oh baby Little darling, come Let's take ride To midnight honey town set fire We want mad But cool You girl Let's break rules Cause tonight right Oh baby, I'm gonna say I see us moving Down highway I see us loving Till hearts desire Anything wanna girl You tell 'Cause right, 'cause right Little darling, telling use Keep thinking honey My soul's fire Well want girl And games I play Anything's right, anything say Cause tonight right All right, baby I'll say again, right All right, right, right, baby We gonna make right You baby, right",Happy,1
Blue Rodeo,Floating,Rock,"Well, late night conversations Leave strange taste Like French cigarettes And coloured drinks That keep throwin' Just keep reminding I came forget So every night You insist reminding Of lost possibilities And stains wall Well, I mean complain But hurts And us know The leaves fall Just throw line That's I ask Well, sink swim I'm goin' fast I need love And I feel like William Holden floating pool Yeah, tell Life living It's best giving But hard free Still I best But refuse gift And share Is collection tears Just throw line That's I ask Well, sink swim I'm going fast I need love And I feel like William Holden floating pool",Happy,1
Tesla,Caught In A Dream,Rock,"If imagine The whole world sharin' one big kiss These thoughts brain That I daydream every day I'm alive well Right I'm alive, I'm feelin' well It's life live way So I'll keep daydreaming away Who knows, maybe someday come true And I get way And live one I'm caught dream I'm gonna wish No one gonna tell No way, dream I'm caught seems Simply impossible I ain't gonna change thing No way, dream What cannot done For every living thing sun Foggy color foggy race Just one big happy face Among sea people Live among God's creatures sharing love That sent Here share one another Father, brother, sister, mother Everybody sharing love Sharing love I'm caught dream I'm gonna wish No one gonna tell No way, dream I'm caught seems Simply impossible I ain't gonna change thing No way, dream I close eyes And everything right Here fantasy Living harmony Make dream come alive I'm caught dream I'm gonna wish No one gonna tell No way, dream I'm caught seems Simply impossible I ain't gonna change thing No way, dream If imagine The whole world sharin' one big kiss Take away pain hurt Make like heaven earth Without reason die Givin' everlasting life",Happy,1
The Dillinger Escape Plan,Setting Fire to Sleeping Giants,Rock,"First off, let say You look tired Rest head shut eyes Empty ambition Blankets sky I'm thinking 'bout another world Tonight, yeah yeah yeah You're right, right, right So drop gown, game's Just push face fight And breaks heart, like dancing night Ride high, start thinking 'bout another world tonight And feels wrong Like nothing we've ever felt Yeah, yeah, yeah You're right, right, right The stranger's candy Takes ought In broken alleys, back every street Close eyes... Tonight Baby Baby Oh, baby, gnaw Down bone Soon find I'm never gonna take back home Well, there's much never told And there's much I want know 'Cause pretty face fine You'll star Of last show Let's go long ride I'll show places ever want leave The stranger's candy Takes ought In broken alleys, back every street Stranger's candy, broken alleys Yeah, tonight We could bring We could bring They think body's dead note Dancing beat, they'll never see corpse Coming 'til kills",Happy,1
Five Bolt Main,Made Like This (Live),Rock,"Conclusions, illusions, mainstream intrusions I'm saying life Brain main-frame, life Your single one life I'm starting back again, never ending Ran track yes again, vibe sending So far I might been, message pending I stop looking back again, road bending Time exists band 'round wrist, people trust last list We could solve world's problems one wish, made like Time exists band 'round wrist, people trust last list We could solve world's problems one wish, made like Made like this, made like I'm saying life This life, I'm saying life",Sad,0
Willie Bobo,Spanish Grease,Jazz,"Ain't love Ain't love Ain't love Ain't love We're missing action living time fashion To gun flashing, blasting that's ain't lasting All fastened, strapped ready rivals harassing Looking shoulder ducking cars passing In rumbo hear latin lingo Guns shoot pachucos fuckin' sickos With four nickels nobody walks around single Get caught slipping they'll pull card window It's simple locals get gaffled barrio locos Steal Spanish grease making shed tear like willie bobo Over dollars, chains rings things worth poco A coco's stealing 'cause they're fiending perico A head crack strike attack sack Pawn sell shit buy rock bring high back That's I strap defense Who committing defense randomly becoming foes? Shit survival fittest testing who's biggest realest street Feel beware killers, stealers dealers Rebel guerillas striking policemen give us Hard times city love us Ain't love Ain't love In city? In city? Ain't love Ain't love Ain't love Ain't love In city In city In city In city Ain't love",Happy,1
John Wesley,The Emperor Falls,Rock,Brick brick Stone stone Dismantle man Strip flesh bone Reach hand The moment comes Blade catches light eyes The man slowly comes undone Nobody noticed No one saw thing All turned blind eye fallen And bad luck brings You wake morning The sky's color can't see Friends fallen wayside Why anyone talking Get funny looks market People loved stare Wander hands pockets Even girlfriend care They've come watch emperor They've come watch emperor They've come watch emperor To watch emperor fall One part truth Three parts deceit Two parts shit made Add passion heat Did ya hear said Can believe done Can believe nerve man Let tell he's Wake fave mirror See someone recognize Stare changes reflection You've become someone despise,Sad,0
Billie Jo Spears,It Makes No Difference Now,Country,Makes difference kind life fate hands I'll get along without that's plain see I care happens next 'cause I'll get somehow I worry 'cause makes difference It year ago I first met I learned love I thought loved But that's past I'll forget somehow I worry 'cause makes difference Now really parted I can't believe we're I blame I'm sure I can't blame I know something happen happened somehow I worry 'cause makes difference After said done I'll soon forget Although I know hard Let things happen I'll get somehow I worry 'cause makes difference,Happy,1
The Rolling Stones,Angie (1993 Digital Remaster),Rock,"Angie, Angie When clouds disappear? Angie, Angie Where lead us here? With lovin' souls And money coats You can't say we're satisfied But Angie, Angie You can't say never tried Angie, beautiful, yeah But ain't time said goodbye? Angie, I still love ya Remember nights cried? All dreams held close Seemed go smoke Let whisper ear Angie, Angie Where lead us here? Oh, Angie, weep All kisses still taste sweet I hate sadness eyes But, Angie , Angie Ain't time said goodbye, yeah? With lovin' souls And money coats You can't say we're satisfied But Angie, I still love you, baby Everywhere I look, I see eyes There ain't woman comes close Come on, baby, dry eyes But Angie, Angie Ain't good alive? Angie, Angie They can't say never tried",Happy,1
Stevie Ray Vaughan,Crossfire,Blues,"Day day, night night Blinded neon lights Hurry here, hustlin' No one's got time spare Money's tight, nothin' free Won't somebody come rescue me? I stranded, caught crossfire Stranded, caught crossfire Tooth tooth, eye eye Sell soul buy, buy, buy Beggin' dollar, stealin' dime Come on, can't see I I stranded, caught crossfire I stranded, caught crossfire I need kind kindness Some kind sympathy oh, We're stranded, caught crossfire Save strong lose weak Never turning cheek Trust nobody, fool Whatever happened golden rule? We got stranded, caught crossfire We got stranded, caught crossfire We got stranded, caught crossfire Stranded, caught crossfire Help",Happy,1
Casiotone For The Painfully Alone,Nashville Parthenon,Jazz,If ever make back Nashville Remember still got friend I'll meet Parthenon That's place always went It's dull since left Nashville I've read books &amp; It makes wish I bashful When comes men But I could way Darling come home Remember moved Nashville And first time kissed Remember mother found us Remember sorely missed And make back Nashville We'll forget sins And I still buy two pairs everything So come home &amp; I'll twins Because I could way I alone,Sad,0
Eliane Elias,The More I See You,Jazz,"The I see I want Somehow feeling grows grows With every sigh I become mad More lost without goes Can imagine much I'll love The I see years go by? I know one My arms free you, heart try The I see I want Somehow feeling grows grows With every sigh I become mad More lost without goes Can imagine much I'll love The I see years go by? I know one My arms free you, heart try The I see years go Can imagine much I'll love The I see years go by? I know one My arms free you, heart try The I see years go The I see I want The I see I want The I see I want",Happy,1
Lost Boyz,Certain Things We Do,Hip Hop/Rap,"All ladies mens evening We night All ladies mens evening We night All ladies mens evening We night All ladies mens evening We night All ladies mens evening We night All ladies mens evening We night It's first night spot I can't front people jump okay rather hot I'm brother, roll went got mole He said he'll meet us party, yeah show Now peeps floor bouncin' The Lost Boyz house, they're announcing We getting lifted honeys met They're dime pieces ain't slidin us yet We gots get stroll on, hit floor See eye eye, he's way, he's bringin' pound No need team front profile Two shorties flirtin Freaky Tah B-Wild I see niggaz suit, he's chattin This genuine fine ass man Yo kid, I love mind right mist If throw elves like Everybody All ladies mens evening We night All ladies mens evening We night All ladies mens evening We night All ladies mens evening We night Yo shortie hop DK Y night I think I'll walk get cry She playin' hard get, I get I'ma take S's son I hit I see eyes, 'cause lie She's tryin' hard resist baby try Now grab drink come close It's right that's way supposed Now loungin, chillin' VIP Got nigga Ref Bink G Money Jeff Star bar LB fam will, gear par Off boo Queens, shreed cuts We represent fam nigga Givin' love everybody walkin' Throw elves air high All ladies mens evening We night All ladies mens evening We night All ladies mens evening We night All ladies mens evening We night Now I'm wanderin I'm goin' home I got two chicks one owned I got whip South plus toe A favorite motherfucker safe floor Now second one's hot 'cause got class See first one's butt, ain't got ass Like do, know We fuck beat feed Now I tell I did? Grab coat, cause shorties slid To diner, got eat You know style kid; I got treat So back last smokin' Cannabis, Sativa To bone receiver Put sounds end herb End that, again, world All ladies mens evening We night All ladies mens evening We night All ladies mens evening We night All ladies mens evening We night",Happy,1
The Germs,Forming,Rock,"Rip Hold Tell I'm gun Pull trigger I bigger than- Mr. Prez big White House Listen, says, we're comin' Infiltration - we're numbin' minds Concentration - we've done time Rip Hold Tell I'm gun Pull trigger I bigger than- Over there, Queen, says Let's stamp dry tears Saturation - want taxes Flagellation - we've got gashes Rip Hold Tell I'm gun Pull trigger I bigger than- In cold, czar's claimin' Just protectin', rockets aimin' Alteration - earth changin' Observation - want action Rip Hold Tell I'm gun Pull trigger I bigger than- I, Emperor, proclaim Us, masters, rule game Inclination - somethin' dream Deprivation - sons Rip Hold Tell I'm gun Pull trigger I bigger than-",Sad,0
Chris Rea,Driving Home For Christmas,Rock,"I'm driving home Christmas Oh, I can't wait see faces I'm driving home Christmas, yeah Well, I'm moving line And long But I I sing song To pass time away Driving car Driving home Christmas It's gonna take time But I'll get Top toe tailbacks Oh, I got red lights around But soon there'll freeway, yeah Get feet holy ground So I sing Though can't hear When I get And feel near Driving car I'm driving home Christmas Driving home Christmas With thousand memories I take look driver next He's Just Top toe tailbacks Oh, I got red lights around I'm driving home Christmas, yeah Get feet holy ground So I sing Though can't hear When I get Oh feel near Driving car Driving home Christmas Driving home Christmas With thousand memories I take look driver next He's He's driving home, driving home Driving home Christmas",Happy,1
The Berzerker,Deform (live),Electronic,"Degradation, I want your, Rhinoplasty, I need you, Not more, Though I perverted man, Disproportioned, version a, Normal man, dirty man, Any surgery get god dam filth head, Maladjusted, of, My appearance, can't see past, How I born, blinded way live? Violated, version a, Normal man, dirty man, Reconstruction, reformation, reaching shallow world, My normal features, gaze impunity, I animal, want man, I wish destruction every man I see, Am I man, I man, i? To forgive means loss memory, Can I decide psycho citizen, No chance I want death enemy, I'm man, I'm man, How think me? judge me? watch me? All I want is, free, Degradation, I want your, Rhinoplasty, I need you, Though I perverted man, Disproportioned, version a, Normal man, dirty man, Any surgery get god dam filth head.",Sad,0
Kings Of Leon,Wicker Chair,Rock,"In little white wicker chair Unsuspicious, nobody cares You're fucked You laugh nothin' pouring rain You try tell insane You fool, I hate sometimes Hey You know ain't coincidental lost place It's drippin' face And losin' precious mind But send postcard get far You got couple pennies rusty jar The truth, gone awhile And hard lookin' look way With one night stands sleep days Ooh, slut sometimes But hey You know ain't coincidental lost place It's drippin' face And losin' precious mind You're losin' mind You're losin' mind You're losin' mind I said losin' mind You're losin' mind You're losin' mind I said losin' mind You're losin' mind You're losin' mind I said losin' mind You're losin' mind You're losin' mind",Sad,0
NOFX,Stickin In My Eye,Rock,"When I look 'round, I see outta one eye As smoke surrounds head, sauna I hear voices, I can't make words Saying things, saying things I got something sticking eye Got something sticking eye Got something sticking eye I feel unusual thinking About underground decay, God help Kill beneath camera, watch world begin cry It's pity It comes what's sticking eye Got something sticking eye Got something sticking eye Got something sticking eye Got something sticking Got something sticking Got something sticking eye",Sad,0
Van Halen,Panama (Remastered Album Version),Rock,"Jump back, what's sound? Here comes, full blast top Hot shoe, burning avenue Model citizen, zero discipline Don't know coming home me? You'll lose turn I'll get her, ah! Panama Panama Panama Panama Ain't nothing like it, shiny machine Got feel wheel, keep moving parts clean Hot shoe, burning avenue Out on-ramp coming bedroom Don't know coming home me? You'll lose turn I'll get her, ah! Panama Panama, ow Panama, ah Panama, oh oh oh oh Yeah, we're running little bit hot tonight I barely see road heat coming it, I say I reach legs Ease seat back She's blinding, I'm flying Right behind rearview mirror Got fearing, power steering Pistons popping, ain't stopping Panama Panama Panama Panama Panama Panama Panama",Happy,1
