artist,song title,genre
Casual,I Didn't Mean To,Hip Hop/Rap
Adam Ant,Something Girls,Rock
Gob,Face the Ashes,Rock
Lionel Richie,Tonight Will Be Alright,R&B
Blue Rodeo,Floating,Rock
Tesla,Caught In A Dream,Rock
The Dillinger Escape Plan,Setting Fire to Sleeping Giants,Rock
Five Bolt Main,Made Like This (Live),Rock
Willie Bobo,Spanish Grease,Jazz
John Wesley,The Emperor Falls,Rock
Billie Jo Spears,It Makes No Difference Now,Country
The Rolling Stones,Angie (1993 Digital Remaster),Rock
Stevie Ray Vaughan,Crossfire,Blues
Casiotone For The Painfully Alone,Nashville Parthenon,Jazz
Eliane Elias,The More I See You,Jazz
Lost Boyz,Certain Things We Do,Hip Hop/Rap
The Germs,Forming,Rock
Chris Rea,Driving Home For Christmas,Rock
The Berzerker,Deform (live),Electronic
Kings Of Leon,Wicker Chair,Rock
NOFX,Stickin In My Eye,Rock
Van Halen,Panama (Remastered Album Version),Rock
Black Eyed Peas,Let's Get It Started,Hip Hop/Rap
Nine Inch Nails,Metal,Rock
Nick Cave & The Bad Seeds,She Fell Away (2009 Digital Remaster),Rock
Lesley Gore,It's My Party,Pop
Slim Whitman,Indian Love Call,Country
Savage Garden,You Can Still Be Free,Rock
Queens Of The Stone Age,I Never Came,Rock
Inspiral Carpets,Commercial Reign,Rock
Organized Konfusion,Hate,Hip Hop/Rap
Martina McBride,I Can't Stop Loving You,Country
Hot Tuna,Candy Man,Rock
Boyz II Men,On Bended Knee,R&B
Donny Hathaway,Little Girl (LP Version),Soul
Wolfmother,White Feather,Rock
Jupiter Rising,They Say (Album),Pop
Saafir,Crawl Before You Ball (Album Version),Hip Hop/Rap
The Verve Pipe,Medicate Myself,Rock
Maxi Priest,Groovin' In The Midnight,Ska
Porcupine Tree,Waiting,Rock
Foo Fighters,Hell,Rock
Robben Ford,I Got Over It (Album Version),Jazz
Britt Nicole,Hanging On (Medium Key Performance Track Without Background Vocals),Christian
Dolly Parton,Letter To Heaven,Country
Pearl Jam,Inside Job,Rock
Natalie Cole,Take A Look  (LP Version),R&B
DJ Quik,Born and Raised In Compton,Hip Hop/Rap
Hank Locklin,We're Gonna Go Fishin',Country
Diesel Boy,Cooler Than You,Rock
Cradle Of Filth,Summer Dying Fast,Rock
Test Icicles,Snowball,Electronic
Heaven 17,(We Don't Need This) Fascist Groove Thang,Rock
Dimmu Borgir,Master Of Disharmony,Rock
Sex Pistols,God Save the Queen (Live),Rock
Chris Brown,Forever,R&B
Hem,Have Yourself A Merry Little Christmas,Pop
Lily Allen,U Killed It,Pop
The Killers,Spaceman,Rock
